seed,policy,source,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
17,moe_mean,aidr_disaster_types,2069,0.12179797003383278,0.9713813979086406,0.04833252779120348,0.48332527791203495,0.6842105263157895,19,6,0.6894409937888198
17,moe_mean,aidr_info,1919,0.14695153725898905,0.9755650580329872,0.027618551328817093,0.276185513288171,0.8,5,1,0.7103825136612022
17,moe_mean,crisismmd,4822,0.23807548734964745,0.9333151878062058,0.07113231024471174,0.7113231024471176,0.6551724137931034,29,10,0.6319742489270386
17,moe_mean,multimodal-deep-learning-disaster-response-mouzannar,2624,0.15510670731707318,0.9485791610284168,0.08689024390243902,0.8689024390243905,0.6129032258064516,31,12,0.5769944341372912
17,moe_tail,ASONAM17_Damage_Image_Dataset,4200,0.22952380952380952,0.8742274412855378,0.1138095238095238,1.1380952380952385,0.78125,32,7,0.504149377593361
17,moe_tail,aidr_disaster_types,2069,0.10439826002899952,0.958985429033999,0.05461575640405993,0.5461575640405995,0.6428571428571429,14,5,0.5905797101449275
17,moe_tail,aidr_info,1919,0.21782178217821782,0.9413724183877415,0.04950495049504951,0.49504950495049516,0.6666666666666666,3,1,0.4808743169398907
17,moe_tail,crisismmd,4822,0.2133969307341352,0.8800421829686265,0.10742430526752385,1.0742430526752387,0.6956521739130435,23,7,0.44241119483315394
17,moe_tail,multimodal-deep-learning-disaster-response-mouzannar,2624,0.19016768292682926,0.9595294117647059,0.056021341463414635,0.5602134146341465,0.8148148148148148,27,5,0.7048192771084337
17,calibrated_tail,ASONAM17_Damage_Image_Dataset,4200,0.2469047619047619,0.9111602908631047,0.0880952380952381,0.8809523809523812,0.8,45,9,0.6432015429122468
17,calibrated_tail,aidr_disaster_types,2069,0.12179797003383278,0.9713813979086406,0.04833252779120348,0.48332527791203495,0.6842105263157895,19,6,0.6894409937888198
17,calibrated_tail,aidr_info,1919,0.14695153725898905,0.9755650580329872,0.027618551328817093,0.276185513288171,0.8,5,1,0.7103825136612022
17,calibrated_tail,crisismmd,4822,0.23807548734964745,0.9333151878062058,0.07113231024471174,0.7113231024471176,0.6551724137931034,29,10,0.6319742489270386
