seed,policy,budget,tail_weight,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
42,random,0.1,,15634,0.09997441473711143,0.8903418378224718,0.17513112447230395,1.75131124472304,0.08088235294117647,136,125,0.09904573872984535
42,random,0.2,,15634,0.19994882947422285,0.8904700991365526,0.1571574772930792,1.5715747729307923,0.16911764705882354,136,113,0.19151036525172754
42,random,0.3,,15634,0.2999872073685557,0.8887061403508771,0.14014327747217603,1.4014327747217605,0.2426470588235294,136,103,0.27903915761763737
42,random,0.4,,15634,0.39996162210566716,0.8879650357104786,0.11826787770244339,1.1826787770244342,0.39705882352941174,136,82,0.39157617637380715
42,entropy,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
42,entropy,0.05,,15634,0.04995522578994499,0.9086379855921363,0.14877830369707049,1.4877830369707052,0.2867647058823529,136,97,0.23461665021388614
42,entropy,0.1,,15634,0.09997441473711143,0.9256627105394073,0.11564538825636433,1.1564538825636437,0.4411764705882353,136,76,0.40506745640013164
42,entropy,0.2,,15634,0.19994882947422285,0.9529101375119923,0.06127670461813995,0.6127670461813997,0.7279411764705882,136,37,0.6847647252385654
42,entropy,0.3,,15634,0.2999872073685557,0.9695723684210527,0.031533836510170145,0.3153383651017015,0.8823529411764706,136,16,0.8377755840737084
42,entropy,0.4,,15634,0.39996162210566716,0.9780407206054792,0.019061020851989255,0.19061020851989258,0.9411764705882353,136,8,0.9019414281013491
42,single_model_risk,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
42,single_model_risk,0.05,,15634,0.04995522578994499,0.905069682892345,0.1419982090315978,1.4199820903159783,0.4117647058823529,136,80,0.2694965449160908
42,single_model_risk,0.1,,15634,0.09997441473711143,0.9211143486603653,0.1057950620442625,1.0579506204426252,0.6176470588235294,136,52,0.45574202040144784
42,single_model_risk,0.2,,15634,0.19994882947422285,0.9437959705788296,0.062044262504797235,0.6204426250479725,0.8014705882352942,136,27,0.6808160579137874
42,single_model_risk,0.3,,15634,0.2999872073685557,0.9544042397660819,0.03997697326340028,0.3997697326340029,0.8970588235294118,136,14,0.7943402435011517
42,single_model_risk,0.4,,15634,0.39996162210566716,0.9593859929645027,0.02871945759242676,0.28719457592426767,0.9411764705882353,136,8,0.8522540309312274
42,l2d_single_head,0.0,,15634,0.0,0.8878725853908149,0.18971472431879238,1.7758730970960728,0.0,123,123,0.0
42,l2d_single_head,0.05,,15634,0.04995522578994499,0.9000201979398101,0.14890623001151337,1.489062300115134,0.3252032520325203,123,83,0.21510451786918408
42,l2d_single_head,0.1,,15634,0.09997441473711143,0.9105251936607206,0.1269668670845593,1.2696686708455933,0.4146341463414634,123,72,0.33074848280512475
42,l2d_single_head,0.2,,15634,0.19994882947422285,0.9295650783498561,0.08404758858897275,0.8404758858897277,0.6666666666666666,123,41,0.5569790964261632
42,l2d_single_head,0.3,,15634,0.2999872073685557,0.9416118421052632,0.059997441473711145,0.5999744147371115,0.7479674796747967,123,31,0.6837491571139582
42,l2d_single_head,0.4,,15634,0.39996162210566716,0.9513911096897986,0.041384162722271974,0.41384162722271983,0.8292682926829268,123,21,0.7818610923803102
42,moe_mean,0.0,,15634,0.0,0.880324932838685,0.1929128821798644,1.7323781501854933,0.0,115,115,0.0
42,moe_mean,0.05,,15634,0.04995522578994499,0.8983370362889652,0.14212613534604068,1.421261353460407,0.391304347826087,115,70,0.26326259946949604
42,moe_mean,0.1,,15634,0.09997441473711143,0.9172766683249236,0.1072022515031342,1.0720225150313423,0.5652173913043478,115,50,0.4442970822281167
42,moe_mean,0.2,,15634,0.19994882947422285,0.9413975055964183,0.0626199309197902,0.6261993091979021,0.7913043478260869,115,24,0.6753978779840849
42,moe_mean,0.3,,15634,0.2999872073685557,0.9519371345029239,0.04183190482282206,0.41831904822822064,0.8782608695652174,115,14,0.78315649867374
42,moe_mean,0.4,,15634,0.39996162210566716,0.9575738194222364,0.0287834207496482,0.2878342074964821,0.9478260869565217,115,6,0.8507957559681698
