seed,policy,budget,tail_weight,n,review_fraction,selective_accuracy,mean_cost,cvar90,severe_error_capture,severe_errors_before_review,severe_errors_remaining,weighted_error_capture
73,entropy,0.05,,15634,0.04995522578994499,0.9087053120581701,0.14858641422540617,1.485864142254062,0.2867647058823529,136,97,0.23560381704508063
73,entropy,0.1,,15634,0.09997441473711143,0.9256627105394073,0.11564538825636433,1.1564538825636437,0.4411764705882353,136,76,0.40506745640013164
73,entropy,0.2,,15634,0.19994882947422285,0.9529101375119923,0.06140463093258283,0.6140463093258285,0.7279411764705882,136,37,0.684106614017769
73,entropy,0.3,,15634,0.2999872073685557,0.9695723684210527,0.031533836510170145,0.3153383651017015,0.8823529411764706,136,16,0.8377755840737084
73,entropy,0.4,,15634,0.39996162210566716,0.9780407206054792,0.019061020851989255,0.19061020851989258,0.9411764705882353,136,8,0.9019414281013491
73,weighted_entropy,0.0,,15634,0.0,0.8786618907509275,0.18344633491109122,1.621082256620187,0.0,97,97,0.0
73,weighted_entropy,0.05,,15634,0.04995522578994499,0.8971251599003568,0.14334143533324806,1.4334143533324808,0.26804123711340205,97,71,0.2186192468619247
73,weighted_entropy,0.1,,15634,0.09997441473711143,0.9129415109089617,0.11417423564027121,1.1417423564027123,0.4020618556701031,97,58,0.3776150627615063
73,weighted_entropy,0.2,,15634,0.19994882947422285,0.9354812919731372,0.06971984137137009,0.6971984137137011,0.7216494845360825,97,27,0.6199442119944212
73,weighted_entropy,0.3,,15634,0.2999872073685557,0.9533991228070176,0.04125623640782909,0.412562364078291,0.8865979381443299,97,11,0.7751046025104602
73,weighted_entropy,0.4,,15634,0.39996162210566716,0.9666346871335678,0.023346552385825763,0.2334655238582577,0.9587628865979382,97,4,0.8727336122733612
73,single_model_risk,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
73,single_model_risk,0.05,,15634,0.04995522578994499,0.9054736416885477,0.14302161954714085,1.4302161954714088,0.38235294117647056,136,84,0.2642316551497203
73,single_model_risk,0.1,,15634,0.09997441473711143,0.9193376448013645,0.11238326723807088,1.123832672380709,0.5441176470588235,136,62,0.4218492925304376
73,single_model_risk,0.2,,15634,0.19994882947422285,0.9437959705788296,0.06460278879365486,0.6460278879365488,0.7720588235294118,136,31,0.6676538334978611
73,single_model_risk,0.3,,15634,0.2999872073685557,0.9566885964912281,0.03882563643341436,0.3882563643341436,0.8897058823529411,136,15,0.8002632444883185
73,single_model_risk,0.4,,15634,0.39996162210566716,0.964289521372988,0.025201483945247537,0.25201483945247544,0.9485294117647058,136,7,0.870352089503126
73,l2d_single_head,0.0,,15634,0.0,0.8873608801330434,0.19316873480875016,1.8052961494179354,0.0,129,129,0.0
73,l2d_single_head,0.05,,15634,0.04995522578994499,0.9019726654547903,0.15223231418702826,1.5223231418702832,0.2713178294573643,129,94,0.2119205298013245
73,l2d_single_head,0.1,,15634,0.09997441473711143,0.9168502593987634,0.11929128821798644,1.1929128821798647,0.43410852713178294,129,73,0.3824503311258278
73,l2d_single_head,0.2,,15634,0.19994882947422285,0.936920370962584,0.073045925546885,0.7304592554688502,0.7131782945736435,129,37,0.6218543046357616
73,l2d_single_head,0.3,,15634,0.2999872073685557,0.9483735380116959,0.048036331073301776,0.4803633107330179,0.8449612403100775,129,20,0.7513245033112583
73,l2d_single_head,0.4,,15634,0.39996162210566716,0.9555484489926447,0.03332480491237048,0.3332480491237048,0.9069767441860465,129,12,0.8274834437086093
73,moe_mean,0.0,,15634,0.0,0.8843546117436357,0.18856338748880644,1.7291799923244213,0.0,118,118,0.0
73,moe_mean,0.05,,15634,0.04995522578994499,0.9005588096680806,0.14257387744659075,1.425738774465908,0.3559322033898305,118,76,0.24389416553595658
73,moe_mean,0.1,,15634,0.09997441473711143,0.9152156918484827,0.11155174619419214,1.1155174619419217,0.5338983050847458,118,55,0.4084124830393487
73,moe_mean,0.2,,15634,0.19994882947422285,0.9418771985929005,0.06396315722144046,0.6396315722144047,0.7711864406779662,118,27,0.66078697421981
73,moe_mean,0.3,,15634,0.2999872073685557,0.9541301169590644,0.04093642062172189,0.409364206217219,0.864406779661017,118,16,0.7829036635006784
73,moe_mean,0.4,,15634,0.39996162210566716,0.9617311587250826,0.02558526288857618,0.2558526288857619,0.9576271186440678,118,5,0.864314789687924
73,moe_tail,0.0,,15634,0.0,0.8810924907253422,0.18651656645772036,1.6760905718306258,0.0,109,109,0.0
73,moe_tail,0.05,,15634,0.04995522578994499,0.8924796337440247,0.14353332480491238,1.4138416272227199,0.42201834862385323,109,63,0.23045267489711935
73,moe_tail,0.1,,15634,0.09997441473711143,0.9014284699026366,0.11538953562747857,1.153895356274786,0.6422018348623854,109,39,0.3813443072702332
73,moe_tail,0.2,,15634,0.19994882947422285,0.916053725615606,0.07988998336957913,0.7988998336957914,0.7889908256880734,109,23,0.571673525377229
73,moe_tail,0.3,,15634,0.2999872073685557,0.9301900584795322,0.05481642573877447,0.5481642573877448,0.8990825688073395,109,11,0.7061042524005487
73,moe_tail,0.4,,15634,0.39996162210566716,0.9403048715488754,0.03799411538953563,0.3799411538953564,0.963302752293578,109,4,0.7962962962962963
73,calibrated_tail,0.0,0.0,15634,0.0,0.8843546117436357,0.18856338748880644,1.7291799923244213,0.0,118,118,0.0
73,calibrated_tail,0.05,0.0,15634,0.04995522578994499,0.9005588096680806,0.14257387744659075,1.425738774465908,0.3559322033898305,118,76,0.24389416553595658
73,calibrated_tail,0.1,0.0,15634,0.09997441473711143,0.9152156918484827,0.11155174619419214,1.1155174619419217,0.5338983050847458,118,55,0.4084124830393487
73,calibrated_tail,0.2,0.0,15634,0.19994882947422285,0.9418771985929005,0.06396315722144046,0.6396315722144047,0.7711864406779662,118,27,0.66078697421981
73,calibrated_tail,0.3,0.0,15634,0.2999872073685557,0.9541301169590644,0.04093642062172189,0.409364206217219,0.864406779661017,118,16,0.7829036635006784
73,calibrated_tail,0.4,0.0,15634,0.39996162210566716,0.9617311587250826,0.02558526288857618,0.2558526288857619,0.9576271186440678,118,5,0.864314789687924
73,guarded,0.0,,15634,0.0,0.8900473327363438,0.19438403479595753,1.844313675323014,0.0,136,136,0.0
73,guarded,0.05,,15634,0.04995522578994499,0.9087053120581701,0.14858641422540617,1.485864142254062,0.2867647058823529,136,97,0.23560381704508063
73,guarded,0.1,,15634,0.09997441473711143,0.9256627105394073,0.11564538825636433,1.1564538825636437,0.4411764705882353,136,76,0.40506745640013164
73,guarded,0.2,,15634,0.19994882947422285,0.9529101375119923,0.06140463093258283,0.6140463093258285,0.7279411764705882,136,37,0.684106614017769
73,guarded,0.3,,15634,0.2999872073685557,0.9695723684210527,0.031533836510170145,0.3153383651017015,0.8823529411764706,136,16,0.8377755840737084
73,guarded,0.4,,15634,0.39996162210566716,0.9780407206054792,0.019061020851989255,0.19061020851989258,0.9411764705882353,136,8,0.9019414281013491
